postal_code,lat_long
259799.0,"1.31620262071228,103.831319643036"
259804.0,"1.31581057809619,103.832690908635"
259889.0,"1.3146621502983,103.834178223122"
259928.0,"1.31515330156559,103.834468356835"
259844.0,"1.31616396718925,103.827763425695"
259844.0,"1.31616396718925,103.827763425695"
259917.0,"1.31660420313808,103.834929655394"
259708.0,"1.31643963008359,103.835487584433"
259806.0,"1.31643954588459,103.833183835473"
259905.0,"1.31531826229036,103.835052683515"
259808.0,"1.31665706584661,103.833640531314"
259909.0,Not Found
388105.0,"1.31415835134435,103.884949577853"
119744.0,"1.27795279258227,103.788283045426"
387940.0,"1.31519401012075,103.888724979998"
539763.0,"1.3440075243723,103.872505962065"
536558.0,"1.34340886402757,103.881033504281"
538976.0,"1.34439427998194,103.875423763667"
309836.0,"1.32276560882225,103.848248500031"
534957.0,"1.3463320293382,103.880240670377"
469977.0,"1.31214958356147,103.93746826206"
118166.0,"1.28115860781557,103.787759973633"
479240.0,"1.33750799193201,103.932674865185"
328689.0,"1.32637508646677,103.8621423703"
258380.0,"1.30856935497057,103.824738483864"
588177.0,"1.34241264188642,103.776539385406"
588176.0,"1.34180018619223,103.776259359854"
276958.0,"1.31607998259264,103.776088224274"
469296.0,"1.32226659660897,103.944669321079"
465494.0,"1.32498777674639,103.928612366312"
469438.0,"1.33188959185827,103.948332182832"
238617.0,Not Found
438610.0,"1.31184221477958,103.894784770422"
358227.0,"1.34412954924506,103.870326858057"
238590.0,"1.29659578899507,103.842393872828"
238590.0,"1.29659578899507,103.842393872828"
258711.0,"1.31698670063917,103.830547014708"
429634.0,"1.3069059800853,103.902076705616"
259799.0,"1.31620262071228,103.831319643036"
328369.0,"1.32326280853007,103.851215603717"
519530.0,"1.3738301364827,103.941704779944"
427048.0,"1.31285438860088,103.905561977804"
425685.0,"1.31315800116555,103.911207235548"
249570.0,"1.29850482255037,103.825566227543"
247855.0,"1.30293407693154,103.826949603307"
588627.0,"1.34173828445494,103.788314732735"
329504.0,"1.32594687231998,103.850839479307"
307682.0,"1.3177326204316,103.844909211296"
574044.0,"1.3491803384667,103.846702572322"
579819.0,"1.34752183684458,103.852047817533"
575567.0,"1.36617888343075,103.831662019589"
579653.0,"1.35965938478524,103.83269196692"
466580.0,"1.31579491702714,103.944840473314"
328933.0,"1.32322945510697,103.852929261304"
217920.0,"1.31621273957801,103.854195999834"
418942.0,"1.32012879856897,103.91212772924"
417030.0,"1.32374715619118,103.909135122768"
546018.0,"1.36276759695535,103.883382260281"
387903.0,"1.31543951406071,103.889367045649"
677721.0,"1.3893458855585,103.770294815646"
398498.0,"1.31164773484524,103.885059930105"
357905.0,"1.33641357462281,103.868571670355"
425562.0,"1.31269286351102,103.91441930412"
128045.0,"1.29695100013987,103.765436140212"
506961.0,"1.38015842187111,103.962983685437"
509456.0,"1.38005079580315,103.96390014473"
169902.0,Not Found
534042.0,"1.37557855184255,103.903316771617"
423992.0,"1.31537658111476,103.905462947954"
188950.0,"1.29702150960937,103.855386164465"
329609.0,"1.3271864871616,103.850648468442"
329602.0,"1.32751838640442,103.849853998922"
329610.0,"1.32769210794585,103.850925051742"
329608.0,"1.32771850493034,103.850327771845"
329583.0,"1.32672666436714,103.84968009627"
398664.0,"1.31277604580511,103.882455638462"
574036.0,"1.35166519162343,103.84155399401"
257718.0,"1.30783850811916,103.819147244028"
257717.0,"1.30877603374417,103.818780483991"
258853.0,"1.30984313480362,103.808136965462"
127647.0,"1.31803357100435,103.753527872969"
388492.0,"1.31345286890954,103.879458401694"
425993.0,"1.31482005929389,103.906626777435"
427305.0,"1.31467316091814,103.9044149803"
249697.0,"1.30308258890109,103.829026886185"
456192.0,"1.31565625391676,103.919245736107"
359136.0,Not Found
359946.0,"1.34374965058828,103.868891906102"
579719.0,"1.34206867721839,103.841077228125"
465520.0,"1.31413757436291,103.937742477406"
546079.0,"1.36224150337995,103.878014692236"
329185.0,Not Found
559258.0,"1.3605107133547,103.872947408702"
398567.0,"1.31198333507049,103.884241798157"
219855.0,"1.31367634101911,103.849509270791"
599952.0,Not Found
309776.0,"1.31829562143795,103.841063256174"
309765.0,"1.31785682801887,103.840048141378"
309767.0,"1.3179599892541,103.840328123302"
309762.0,"1.31720027050967,103.840532892335"
588132.0,"1.34713474066852,103.770939376989"
259715.0,"1.3176992370965,103.832340224879"
789094.0,"1.39073624030461,103.837036693468"
117686.0,"1.28168659607272,103.786723137986"
117687.0,"1.28251708251467,103.786910425377"
189649.0,"1.30224327074302,103.85270021499"
439442.0,"1.3127948955542,103.895663772368"
439421.0,"1.31185942904649,103.894971491981"
439431.0,"1.31271777977328,103.895271676171"
423833.0,"1.31245177706174,103.911015132544"
419679.0,"1.32886589161997,103.90719397756"
329422.0,Not Found
229717.0,"1.30883087550059,103.837130247196"
229769.0,Not Found
229811.0,"1.30557829834877,103.838140768626"
229952.0,Not Found
229744.0,"1.30851030840347,103.837972449413"
229675.0,Not Found
229664.0,"1.30616222501617,103.836994537802"
229774.0,"1.30773531465583,103.839088016031"
328882.0,"1.32377306099593,103.854363234114"
387987.0,"1.31552496371882,103.887975469134"
534981.0,"1.35030810243289,103.879055585844"
425145.0,"1.30972321585123,103.90970804035"
787061.0,Not Found
425364.0,"1.31150087316771,103.914116386917"
219679.0,"1.31319452803722,103.847445951243"
388030.0,"1.31535537044873,103.886535887931"
455006.0,"1.31316934203827,103.929305198346"
436928.0,"1.29740753807852,103.875438146635"
423484.0,"1.31463066398432,103.914444947529"
398887.0,"1.31068444913989,103.879834705472"
399221.0,"1.30944640897271,103.876928896198"
768124.0,"1.44447954944853,103.825437324844"
425316.0,"1.31094766718423,103.910639865717"
429192.0,"1.30911282141402,103.905436552041"
388869.0,"1.31417485125009,103.873278239692"
424340.0,"1.31088889231666,103.905869255433"
127015.0,"1.3180254812967,103.756289455625"
558961.0,"1.35517236505782,103.866447107141"
558961.0,"1.35517236505782,103.866447107141"
98635.0,"1.2678488138291,103.814972113173"
507025.0,"1.35917121402077,103.963631516169"
219643.0,Not Found
258865.0,"1.30899937042874,103.807302268297"
219606.0,"1.31318091815404,103.847805816417"
219604.0,"1.31326861994608,103.847955663098"
387991.0,"1.31572497044571,103.888037485239"
398484.0,"1.31232393794378,103.885033090499"
429433.0,"1.3138386258877,103.906245529007"
228305.0,"1.30810793174444,103.839546062882"
547726.0,"1.35368823040023,103.876444615904"
398311.0,"1.31212684791503,103.887220221118"
538977.0,"1.34485854983769,103.875100778586"
589632.0,"1.33490889638351,103.78345211809"
427024.0,"1.3120905277435,103.904376279072"
467169.0,"1.32144517938431,103.950307597404"
329980.0,"1.32849358847465,103.848169401956"
329557.0,"1.32493712413545,103.846068919286"
249055.0,"1.29473553604742,103.818989337771"
